"ProbeID","Symbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","SE","Direction"
"201739_at","SGK1","6446",2.36818398410401,9.4618202405369,5.96345253914033,0.000512571693305002,0.00760730426802441,0.397116262527579,"Upregulated"
"201740_at","NDUFS3","4722",1.0327107895896,8.90395944261317,10.9879384067434,9.57442542791075e-06,0.000868958664197374,0.0939858553407813,"Upregulated"
"201744_s_at","LUM","4060",3.26538039839401,6.46232555169011,5.17702048464486,0.00119092159698627,0.0121465676442229,0.630745118370536,"Upregulated"
"201748_s_at","SAFB","6294",1.00275623493474,6.88287949925392,5.86948499640661,0.000564558588039563,0.00807012047894946,0.170842286086197,"Upregulated"
"201749_at","ECE1","1889",-1.50617823079654,7.56161374706367,-15.1140003975394,1.05942387384487e-06,0.000243372599802941,0.0996545051726838,"Downregulated"
"201752_s_at","ADD3","120",1.83649179231507,9.59215123024288,14.9656306675686,1.1349106899147e-06,0.000250808717674623,0.122713959278365,"Upregulated"
"201753_s_at","ADD3","120",2.23331719642681,9.34349956907516,9.78407566749774,2.10097181406808e-05,0.00139749119202624,0.228260417470583,"Upregulated"
"201769_at","CLINT1","9685",1.05847083685136,7.7945937580959,11.3443333883123,7.70008715885864e-06,0.000787513188348191,0.0933039254595484,"Upregulated"
"201792_at","AEBP1","165",-1.21262254625618,6.67243511096686,-3.612111825555,0.00824878908689477,0.0374888368801298,0.33571013435329,"Downregulated"
"201795_at","LBR","3930",1.77334795696994,8.52056145863023,5.11020123019495,0.00128417962235722,0.012622573676659,0.347021159654468,"Upregulated"
"201811_x_at","SH3BP5","9467",1.18959674111308,6.74351305451349,5.14197917227265,0.00123885590065921,0.0124013594044875,0.231349972696857,"Upregulated"
"201816_s_at","NIPSNAP2","2631",1.21535793458999,7.48335928264439,4.12909879995104,0.00418126393807394,0.0251338290618024,0.294339756317868,"Upregulated"
"201824_at","RNF14","9604",1.28700635437754,5.63143573780026,4.15063507956915,0.00406810303952181,0.0247120675476547,0.310074562014046,"Upregulated"
"201839_s_at","EPCAM","4072",-3.50092815766192,6.10921298094563,-5.18767728883189,0.00117675415387868,0.0120731191736246,0.674854653198796,"Downregulated"
"201842_s_at","EFEMP1","2202",2.64204902342715,7.90058502995561,5.63888432433588,0.000718915379471121,0.00926523504959802,0.468541092787591,"Upregulated"
"201843_s_at","EFEMP1","2202",2.1163372984477,5.69977643746698,10.9902372318198,9.56078602915178e-06,0.000868958664197374,0.192565206174106,"Upregulated"
"201848_s_at","BNIP3","664",1.37773692561876,9.27251681468254,2.50307746512395,0.0400184266713782,0.10122746656053,0.550417214335208,"Upregulated"
"201859_at","SRGN","5552",1.05751501987616,3.67251602787719,9.74661771451034,2.15587901147101e-05,0.00142550302708037,0.108500717977456,"Upregulated"
"201865_x_at","NR3C1","2908",1.06499750574085,7.76542695419691,7.08211718282702,0.000175330816107569,0.00424201582554285,0.150378407790723,"Upregulated"
"201873_s_at","ABCE1","6059",1.02326330394822,6.36999123282642,6.00795328554861,0.000489833147725777,0.00742939648391401,0.170318119218661,"Upregulated"
"201893_x_at","DCN","1634",4.94739733687334,9.00365863377198,10.4586033840862,1.33926380896777e-05,0.00106581483768674,0.473045697898946,"Upregulated"
"201909_at","RPS4Y1","6192",-4.19962375881761,6.92619601696981,-3.01013356384382,0.0190946260108715,0.0626166252446725,1.39516193210206,"Downregulated"
"201931_at","ETFA","2108",1.06739675898027,8.29650582918151,5.5193006653118,0.000817080288644443,0.0100093458339,0.193393479302323,"Upregulated"
"201940_at","CPD","1362",2.41029835293772,7.87325831022093,7.12306040654824,0.000169003864144242,0.00412476791317211,0.338379603059652,"Upregulated"
"201941_at","CPD","1362",1.98478167883302,9.57086204900817,6.3194258201174,0.000358889497719421,0.00620413861728616,0.314076268213265,"Upregulated"
"201942_s_at","CPD","1362",2.82286032020072,7.29410141404933,6.40058297324286,0.000331557618628553,0.00593898586487141,0.441031751639103,"Upregulated"
"201943_s_at","CPD","1362",2.39084950171908,7.18860977803642,6.16093917963019,0.000419838875304532,0.00680647446740679,0.388065752965702,"Upregulated"
"201959_s_at","MYCBP2","23077",1.02549518086644,7.14752733822355,5.11853147024867,0.00127212343767348,0.0125896542827811,0.200349492198515,"Upregulated"
"201963_at","ACSL1","2180",3.69246068788934,8.52446367007855,9.41879531575429,2.7121770724915e-05,0.00156568501829866,0.392031099955338,"Upregulated"
"201983_s_at","EGFR","1956",-1.39628941554762,9.30115182319892,-12.3013657779932,4.41758458255928e-06,0.000556141453407731,0.11350686100608,"Downregulated"
"202014_at","PPP1R15A","23645",-1.04722988104072,6.17727983706301,-9.69015480401495,2.24173674479199e-05,0.00143542011161494,0.108071532624723,"Downregulated"
"202026_at","SDHD","6392",1.92855340667301,7.22325669914138,10.5345651650512,1.2751164930387e-05,0.00103081717469529,0.183069104083296,"Upregulated"
"202028_s_at","RPL38","6169",-1.16793452180845,7.19000247321138,-8.19376001340656,6.82920775641547e-05,0.00262198484113555,0.14253950810098,"Downregulated"
"202066_at","PPFIA1","8500",1.27126686576347,6.59739243640295,6.69011761539256,0.000251423026425099,0.00507051199388301,0.190021601838293,"Upregulated"
"202069_s_at","IDH3A","3419",2.13653796852083,5.61986216305552,8.28281347508892,6.36161564352058e-05,0.00252234664385354,0.257948337837935,"Upregulated"
"202070_s_at","IDH3A","3419",1.35443784157044,5.8380584863959,9.8332949651884,2.03121136125098e-05,0.00136741639766633,0.13773997895572,"Upregulated"
"202075_s_at","PLTP","5360",-1.08476956996763,6.85147008825339,-11.6436973872663,6.44284776297102e-06,0.00070722156010977,0.0931636690553253,"Downregulated"
"202082_s_at","SEC14L1","6397",1.01446011182129,6.20797746127882,5.22240080731776,0.00113187225363673,0.0118244301114802,0.194251676431997,"Upregulated"
"202097_at","NUP153","9972",1.41629966511399,6.87049329347907,7.33666476129325,0.000139885087853479,0.00371707010543619,0.193044075365976,"Upregulated"
"202101_s_at","RALB","5899",1.50489806862852,6.17898504057619,7.01927674118803,0.000185565320200319,0.00437479544362427,0.214395033009315,"Upregulated"
"202125_s_at","TRAK2","66008",1.20817289721069,7.27016380705723,4.39066050297102,0.00301045302152195,0.0205840951288977,0.275168826283234,"Upregulated"
"202132_at","WWTR1","25937",1.15607037888986,7.46670009682935,8.67063825746354,4.7050793834278e-05,0.00214403443560167,0.133331635406971,"Upregulated"
"202133_at","WWTR1","25937",1.84871262684396,8.36325301683343,9.51510278668251,2.53349804242669e-05,0.00151969215284812,0.194292449413311,"Upregulated"
"202134_s_at","WWTR1","25937",1.21696238830402,8.05905053259614,9.17669032797467,3.22772599862664e-05,0.00172065594323917,0.132614520574392,"Upregulated"
