"RowName","ProbeID","logFC","AveExpr","t","P.Value","SE.x","df","adj.P.Val","Symbol","EntrezID.x","Direction","Gene","EntrezID.y","SE.y","EntrezID","SE","CI_lower","CI_upper"
"45","209424_s_at",3.26786540239098,7.05032684088625,31.5803713567387,5.78435277457244e-09,0.103477738291183,7.17350958619789,1.93693089456835e-05,"AMACR","23600","Upregulated","AMACR",NA,NA,"23600",0.103477738291183,2.98056514241549,3.55516566236647
"46","222108_at",-2.1137491156242,9.45854260037628,-7.78637923703239,9.52586763117803e-05,0.271467526982388,7.17350958619789,0.00306537477480721,"AMIGO2","347902","Downregulated","AMIGO2",NA,NA,"347902",0.271467526982388,-2.8674638021346,-1.3600344291138
"47","204976_s_at",1.46206866109534,7.00062775486157,5.7306675943662,0.000652456505007039,0.255130599885552,7.17350958619789,0.00880598927987392,"AMMECR1","9949","Upregulated","AMMECR1",NA,NA,"9949",0.255130599885552,0.753712555856925,2.17042476633376
"48","207992_s_at",-1.10832382278544,6.56143417936315,-3.16778102428303,0.0152557131579637,0.349873875210896,7.17350958619789,0.054255120046292,"AMPD3","272","Downregulated","AMPD3",NA,NA,"272",0.122561792065365,-1.4486099104496,-0.768037735121291
"49","207845_s_at",1.09364600814057,5.5517958469613,4.31798268597218,0.00329480958547604,0.253277071187315,7.17350958619789,0.0216885593668038,"ANAPC10","10393","Upregulated","ANAPC10",NA,NA,"10393",0.253277071187315,0.390436123583716,1.79685589269742
"50","205141_at",1.45741753224214,5.4216924624877,10.6941068543611,1.15139061743975e-05,0.136282305019964,7.17350958619789,0.000968167438807921,"ANG","283","Upregulated","ANG",NA,NA,"283",0.136282305019964,1.07903719354438,1.83579787093989
"51","205608_s_at",1.17032308003894,4.76996972296144,9.37281305551411,2.80247772669465e-05,0.124863589309554,7.17350958619789,0.00158899774004928,"ANGPT1","284","Upregulated","ANGPT1",NA,NA,"284",0.124863589309554,0.823646178682998,1.51699998139487
"52","221009_s_at",-1.14517157102963,6.52926933958346,-2.76085693286834,0.0273892416998454,0.414788451149432,7.17350958619789,0.0786369627009075,"ANGPTL4","51129","Downregulated","ANGPTL4",NA,NA,"51129",0.414788451149432,-2.29680893591604,0.00646579385678447
"53","206385_s_at",2.74690095487278,6.01078446952019,8.1667657612582,6.97850348570823e-05,0.336351137668675,7.17350958619789,0.00263482512579005,"ANK3","288","Upregulated","ANK3",NA,NA,"288",0.336351137668675,1.81304048506488,3.68076142468068
"54","218769_s_at",1.42078360028623,5.31771964367044,6.24832385164422,0.000384916930378787,0.227386357368842,7.17350958619789,0.0064684041927832,"ANKRA2","57763","Upregulated","ANKRA2",NA,NA,"57763",0.227386357368842,0.789457861380752,2.05210933919171
"55","206029_at",-1.00332584028499,4.14543585731413,-3.78238572740979,0.00656591252353424,0.265262697300857,7.17350958619789,0.0327824845982329,"ANKRD1","27063","Downregulated","ANKRD1",NA,NA,"27063",0.265262697300857,-1.73981315779752,-0.266838522772457
"56","212286_at",1.06112714801489,5.58236104598405,8.10684142745854,7.32324675582734e-05,0.130892796844497,7.17350958619789,0.00268394584638324,"ANKRD12","23253","Upregulated","ANKRD12",NA,NA,"23253",0.130892796844497,0.697710482910332,1.42454381311944
