"ProbeID","Symbol","EntrezID","GeneName","IQR"
"203935_at","ACVR1","90","activin A receptor type 1",0.772603733726157
"213198_at","ACVR1B","91","activin A receptor type 1B",1.71203445938417
"205327_s_at","ACVR2A","92","activin A receptor type 2A",0.117006198578441
"220028_at","ACVR2B","93","activin A receptor type 2B",0.17223568240939
"215590_x_at","ACVR2B-AS1","100128640","ACVR2B antisense RNA 1",0.208163432927605
"210838_s_at","ACVRL1","94","activin A receptor like type 1",0.435136373202944
"202740_at","ACY1","95","aminoacylase 1",1.19643832215047
"205260_s_at","ACYP1","97","acylphosphatase 1",0.44564138910702
"206833_s_at","ACYP2","98","acylphosphatase 2",0.118003447885312
"204639_at","ADA","100","adenosine deaminase",0.237056679913916
"219505_at","ADA2","51816","adenosine deaminase 2",0.254989343218353
"214895_s_at","ADAM10","102","ADAM metallopeptidase domain 10",0.333476623673795
"207880_at","ADAM11","4185","ADAM metallopeptidase domain 11",0.179618015780292
"202952_s_at","ADAM12","8038","ADAM metallopeptidase domain 12",1.34903846640143
"217007_s_at","ADAM15","8751","ADAM metallopeptidase domain 15",0.112786253907375
"205745_x_at","ADAM17","6868","ADAM metallopeptidase domain 17",0.222565214720763
"207597_at","ADAM18","8749","ADAM metallopeptidase domain 18",0.249442497480384
"221128_at","ADAM19","8728","ADAM metallopeptidase domain 19",0.651779291462952
"207664_at","ADAM2","2515","ADAM metallopeptidase domain 2",0.110308147645039
"207423_s_at","ADAM20","8748","ADAM metallopeptidase domain 20",0.409834299859027
"207665_at","ADAM21","8747","ADAM metallopeptidase domain 21",0.142226775186316
"206615_s_at","ADAM22","53616","ADAM metallopeptidase domain 22",0.430941028028684
"206046_at","ADAM23","8745","ADAM metallopeptidase domain 23",0.143631638698162
"208269_s_at","ADAM28","10863","ADAM metallopeptidase domain 28",0.420588487598538
"221337_s_at","ADAM29","11086","ADAM metallopeptidase domain 29",0.277711572906029
"221446_at","ADAM30","11085","ADAM metallopeptidase domain 30",0.271055338694429
"216276_s_at","ADAM3A","1587","ADAM metallopeptidase domain 3A (pseudogene)",0.286086700663226
"217237_at","ADAM3B","1596","ADAM metallopeptidase domain 3B (pseudogene)",0.448946012206096
"217003_s_at","ADAM5","255926","ADAM metallopeptidase domain 5 (pseudogene)",0.176782543202875
"211238_at","ADAM7","8756","ADAM metallopeptidase domain 7",0.10241984328901
"205180_s_at","ADAM8","101","ADAM metallopeptidase domain 8",0.81785957512344
"202381_at","ADAM9","8754","ADAM metallopeptidase domain 9",0.857998541287257
"206134_at","ADAMDEC1","27299","ADAM like decysin 1",0.0656798740901321
"222162_s_at","ADAMTS1","9510","ADAM metallopeptidase with thrombospondin type 1 motif 1",0.256459199059968
"221421_s_at","ADAMTS12","81792","ADAM metallopeptidase with thrombospondin type 1 motif 12",0.0826319977387593
"220208_at","ADAMTS13","11093","ADAM metallopeptidase with thrombospondin type 1 motif 13",0.450760168093441
"214454_at","ADAMTS2","9509","ADAM metallopeptidase with thrombospondin type 1 motif 2",0.191671404224087
"220717_at","ADAMTS20","80070","ADAM metallopeptidase with thrombospondin type 1 motif 20",0.125530327127663
"214913_at","ADAMTS3","9508","ADAM metallopeptidase with thrombospondin type 1 motif 3",0.211762267172542
"219935_at","ADAMTS5","11096","ADAM metallopeptidase with thrombospondin type 1 motif 5",1.20069514984673
"220866_at","ADAMTS6","11174","ADAM metallopeptidase with thrombospondin type 1 motif 6",0.106168795725449
"220706_at","ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7",0.4154665098042
"220677_s_at","ADAMTS8","11095","ADAM metallopeptidase with thrombospondin type 1 motif 8",0.555976610297308
"220287_at","ADAMTS9","56999","ADAM metallopeptidase with thrombospondin type 1 motif 9",0.174637875085772
"206629_at","ADAMTSL2","9719","ADAMTS like 2",0.529082212547574
"213974_at","ADAMTSL3","57188","ADAMTS like 3",0.306491404675077
"220578_at","ADAMTSL4","54507","ADAMTS like 4",0.138319740638796
"90265_at","ADAP1","11033","ArfGAP with dual PH domains 1",0.198057789572267
"219358_s_at","ADAP2","55803","ArfGAP with dual PH domains 2",0.294170809993611
"201786_s_at","ADAR","103","adenosine deaminase RNA specific",0.144247198955355
"203865_s_at","ADARB1","104","adenosine deaminase RNA specific B1",1.50317446787777
"220648_at","ADARB2","105","adenosine deaminase RNA specific B2 (inactive)",0.257578593859352
"219384_s_at","ADAT1","23536","adenosine deaminase tRNA specific 1",0.111659744878923
"221894_at","ADCK2","90956","aarF domain containing kinase 2",0.317581326174093
"215340_at","ADCY1","107","adenylate cyclase 1",0.531349607891663
"214547_at","ADCY10","55811","adenylate cyclase 10",0.307379468255919
"217688_at","ADCY2","108","adenylate cyclase 2",0.200546078710523
"209320_at","ADCY3","109","adenylate cyclase 3",0.306537508102024
"209195_s_at","ADCY6","112","adenylate cyclase 6",0.0906625457840677
"203741_s_at","ADCY7","113","adenylate cyclase 7",0.0645536041983714
"206811_at","ADCY8","114","adenylate cyclase 8",0.357885218665579
"204497_at","ADCY9","115","adenylate cyclase 9",1.46189998404146
"206281_at","ADCYAP1","116","adenylate cyclase activating polypeptide 1",0.0708668133018988
"207151_at","ADCYAP1R1","117","ADCYAP receptor type I",0.274544276633679
"214736_s_at","ADD1","118","adducin 1",0.298005805927707
"205268_s_at","ADD2","119","adducin 2",0.324340179795156
"201753_s_at","ADD3","120","adducin 3",2.20205109277925
"222072_at","ADD3-AS1","100505933","ADD3 antisense RNA 1",0.592171479641765
"220614_s_at","ADGB","79747","androglobin",0.254565338740463
"221814_at","ADGRA2","25960","adhesion G protein-coupled receptor A2",0.15288408145001
"210473_s_at","ADGRA3","166647","adhesion G protein-coupled receptor A3",0.167324334381687
"206083_at","ADGRB1","575","adhesion G protein-coupled receptor B1",0.488756464564609
"204966_at","ADGRB2","576","adhesion G protein-coupled receptor B2",0.384367694281295
"211568_at","ADGRB3","577","adhesion G protein-coupled receptor B3",0.345326077172682
"216289_at","ADGRD2","347088","adhesion G protein-coupled receptor D2",0.440550955565208
"207111_at","ADGRE1","2015","adhesion G protein-coupled receptor E1",0.309363994540422
"207610_s_at","ADGRE2","30817","adhesion G protein-coupled receptor E2",0.107068435086933
"210724_at","ADGRE3","84658","adhesion G protein-coupled receptor E3",0.0706043399941061
"202910_s_at","ADGRE5","976","adhesion G protein-coupled receptor E5",0.235982796954269
"220907_at","ADGRF1","266977","adhesion G protein-coupled receptor F1",0.49137098958213
"212951_at","ADGRF5","221395","adhesion G protein-coupled receptor F5",0.205263904033973
"206582_s_at","ADGRG1","9289","adhesion G protein-coupled receptor G1",0.187194698111222
"206002_at","ADGRG2","10149","adhesion G protein-coupled receptor G2",0.115899923919269
"220404_at","ADGRG3","222487","adhesion G protein-coupled receptor G3",0.450700681717321
"213094_at","ADGRG6","57211","adhesion G protein-coupled receptor G6",0.197838473400235
"203488_at","ADGRL1","22859","adhesion G protein-coupled receptor L1",0.314583400138276
"206953_s_at","ADGRL2","23266","adhesion G protein-coupled receptor L2",2.24096040008195
"209866_s_at","ADGRL3","23284","adhesion G protein-coupled receptor L3",0.343026226752292
"219134_at","ADGRL4","64123","adhesion G protein-coupled receptor L4",0.267839178741757
"215396_at","ADGRV1","84059","adhesion G protein-coupled receptor V1",0.178406862605459
"207820_at","ADH1A","124","alcohol dehydrogenase 1A (class I), alpha polypeptide",0.384386878709651
"209614_at","ADH1B","125","alcohol dehydrogenase 1B (class I), beta polypeptide",0.1623234333096
"206262_at","ADH1C","126","alcohol dehydrogenase 1C (class I), gamma polypeptide",0.213879017485595
"208848_at","ADH5","128","alcohol dehydrogenase 5 (class III), chi polypeptide",0.99371190186235
"207544_s_at","ADH6","130","alcohol dehydrogenase 6 (class V)",0.0852222491293193
"210505_at","ADH7","131","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",0.193437414011478
"217761_at","ADI1","55256","acireductone dioxygenase 1",0.199767530760617
"207175_at","ADIPOQ","9370","adiponectin, C1Q and collagen domain containing",0.226860986032086
"217748_at","ADIPOR1","51094","adiponectin receptor 1",0.432700959821089
"201346_at","ADIPOR2","79602","adiponectin receptor 2",0.130204617752455
"203571_s_at","ADIRF","10974","adipogenesis regulatory factor",0.33857828708375
"50314_i_at","ADISSP","54976","adipose secreted signaling protein",0.6352698369594
"204119_s_at","ADK","132","adenosine kinase",0.417638326043111
"202912_at","ADM","133","adrenomedullin",0.114500876954791
"220538_at","ADM2","79924","adrenomedullin 2",0.437266084629722
"201773_at","ADNP","23394","activity dependent neuroprotector homeobox",0.509795286201298
"203322_at","ADNP2","22850","ADNP homeobox 2",0.270901772793281
"212500_at","ADO","84890","2-aminoethanethiol dioxygenase",0.263523510108604
"216220_s_at","ADORA1","134","adenosine A1 receptor",0.288207943897796
"205013_s_at","ADORA2A","135","adenosine A2a receptor",0.447376217796863
"205891_at","ADORA2B","136","adenosine A2b receptor",1.45070625914679
"206171_at","ADORA3","140","adenosine A3 receptor",0.0829769500125241
"220980_s_at","ADPGK","83440","ADP dependent glucokinase",0.15491872674416
"207863_at","ADPRH","141","ADP-ribosylarginine hydrolase",0.0672006924970017
"220606_s_at","ADPRM","56985","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",0.435350257129571
"211490_at","ADRA1A","148","adrenoceptor alpha 1A",0.436893435328655
"207589_at","ADRA1B","147","adrenoceptor alpha 1B",0.156799747456652
"210961_s_at","ADRA1D","146","adrenoceptor alpha 1D",0.758062343540763
"209869_at","ADRA2A","150","adrenoceptor alpha 2A",0.101039436159154
"208544_at","ADRA2B","151","adrenoceptor alpha 2B",0.387293764052571
"206128_at","ADRA2C","152","adrenoceptor alpha 2C",0.271796519730815
"208214_at","ADRB1","153","adrenoceptor beta 1",0.808155177332329
"206170_at","ADRB2","154","adrenoceptor beta 2",1.32515868047981
"217303_s_at","ADRB3","155","adrenoceptor beta 3",0.425165472000291
"201281_at","ADRM1","11047","ADRM1 26S proteasome ubiquitin receptor",0.440704881300197
"202144_s_at","ADSL","158","adenylosuccinate lyase",0.255194178730692
"221761_at","ADSS2","159","adenylosuccinate synthase 2",0.152345857904423
"215100_at","ADTRP","84830","androgen dependent TFPI regulating protein",0.128398302817868
"201792_at","AEBP1","165","AE binding protein 1",1.14796044438707
"219361_s_at","AEN","64782","apoptosis enhancing nuclease",0.220236593873675
"203563_at","AFAP1","60312","actin filament associated protein 1",0.116708469717216
"208512_s_at","AFDN","4301","afadin, adherens junction formation factor",0.36339846202612
"210409_at","AFDN-DT","653483","AFDN divergent transcript",0.125033664103494
"201924_at","AFF1","4299","ALF transcription elongation factor 1",0.411380103912229
"216364_s_at","AFF2","2334","ALF transcription elongation factor 2",0.350732353280431
"205735_s_at","AFF3","3899","ALF transcription elongation factor 3",0.719971503819864
"219199_at","AFF4","27125","ALF transcription elongation factor 4",0.0722012068625775
"222163_s_at","AFG2B","79029","AAA ATPase AFG2B",0.812530417646694
"202486_at","AFG3L2","10939","AFG3 like matrix AAA peptidase subunit 2",0.138636409461451
"206840_at","AFM","173","afamin",0.0679508656943995
"204694_at","AFP","174","alpha fetoprotein",0.105472094597943
"217939_s_at","AFTPH","54812","aftiphilin",0.18414163571374
"216064_s_at","AGA","175","aspartylglucosaminidase",0.882124747685877
"204066_s_at","AGAP1","116987","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",0.175497564856116
"206152_at","AGAP2","116986","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",0.674362977888118
"221850_x_at","AGAP4","119016","ArfGAP with GTPase domain, ankyrin repeat and PH domain 4",0.280873490923687
"220390_at","AGBL2","79841","AGBL carboxypeptidase 2",0.0638979633404126
"220649_at","AGBL3","340351","AGBL carboxypeptidase 3",0.166863907183017
"218480_at","AGBL5","60509","AGBL carboxypeptidase 5",0.273603908073076
"217046_s_at","AGER","177","advanced glycosylation end-product specific receptor",0.663660559556443
"218092_s_at","AGFG1","3267","ArfGAP with FG repeats 1",0.873096814684114
"222362_at","AGFG2","3268","ArfGAP with FG repeats 2",0.452946986287108
